SYMBOL,ASKPRICE,ASKQTY,BIDPRICE,BIDQTY,CLOSETIME,COUNT,FIRSTID,HIGHPRICE,LASTID,LASTPRICE,LASTQTY,LOWPRICE,OPENPRICE,OPENTIME,PREVCLOSEPRICE,PRICECHANGE,PRICECHANGEPERCENT,QUOTEVOLUME,VOLUME,WEIGHTEDAVGPRICE
YOYOBNB,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00059800,0.00000000,0.000,0.00000000,0.00000000,0.00000000
POWRBNB,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00385000,0.00000000,0.000,0.00000000,0.00000000,0.00000000
VENBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00013928,0.00000000,0.000,0.00000000,0.00000000,0.00000000
VENETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00325194,0.00000000,0.000,0.00000000,0.00000000,0.00000000
KMDBTC,0.00001691,5094.00000000,0.00001687,137.00000000,1638428046634,3818,12013114,0.00001820,12016931,0.00001691,1120.00000000,0.00001661,0.00001665,1638341646634,0.00001666,0.00000026,1.562,14.04530779,812032.00000000,0.00001730
KMDETH,0.00021330,70.00000000,0.00021060,1402.00000000,1638428050967,551,2083354,0.00021960,2083904,0.00021230,7.00000000,0.00020200,0.00020230,1638341650967,0.00020090,0.00001000,4.943,26.97936100,126953.00000000,0.00021251
NULSBNB,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.01257000,0.00000000,0.000,0.00000000,0.00000000,0.00000000
RCNBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00000074,0.00000000,0.000,0.00000000,0.00000000,0.00000000
RCNETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00037604,0.00000000,0.000,0.00000000,0.00000000,0.00000000
RCNBNB,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00347300,0.00000000,0.000,0.00000000,0.00000000,0.00000000
